Year,Month,Silver_Price_INR_per_kg
2000,Jan,8030
2000,Feb,8075
2000,Mar,8135
2000,Apr,8210
2000,May,8300
2000,Jun,8405
2000,Jul,8525
2000,Aug,8660
2000,Sep,8810
2000,Oct,8975
2000,Nov,9155
2000,Dec,9350
2001,Jan,9380
2001,Feb,9425
2001,Mar,9485
2001,Apr,9560
2001,May,9650
2001,Jun,9755
2001,Jul,9875
2001,Aug,10010
2001,Sep,10160
2001,Oct,10325
2001,Nov,10505
2001,Dec,10700
2002,Jan,10730
2002,Feb,10775
2002,Mar,10835
2002,Apr,10910
2002,May,11000
2002,Jun,11105
2002,Jul,11225
2002,Aug,11360
2002,Sep,11510
2002,Oct,11675
2002,Nov,11855
2002,Dec,12050
2003,Jan,12080
2003,Feb,12125
2003,Mar,12185
2003,Apr,12260
2003,May,12350
2003,Jun,12455
2003,Jul,12575
2003,Aug,12710
2003,Sep,12860
2003,Oct,13025
2003,Nov,13205
2003,Dec,13400
2004,Jan,13430
2004,Feb,13475
2004,Mar,13535
2004,Apr,13610
2004,May,13700
2004,Jun,13805
2004,Jul,13925
2004,Aug,14060
2004,Sep,14210
2004,Oct,14375
2004,Nov,14555
2004,Dec,14750
2005,Jan,14780
2005,Feb,14825
2005,Mar,14885
2005,Apr,14960
2005,May,15050
2005,Jun,15155
2005,Jul,15275
2005,Aug,15410
2005,Sep,15560
2005,Oct,15725
2005,Nov,15905
2005,Dec,16100
2006,Jan,16130
2006,Feb,16175
2006,Mar,16235
2006,Apr,16310
2006,May,16400
2006,Jun,16505
2006,Jul,16625
2006,Aug,16760
2006,Sep,16910
2006,Oct,17075
2006,Nov,17255
2006,Dec,17450
2007,Jan,17480
2007,Feb,17525
2007,Mar,17585
2007,Apr,17660
2007,May,17750
2007,Jun,17855
2007,Jul,17975
2007,Aug,18110
2007,Sep,18260
2007,Oct,18425
2007,Nov,18605
2007,Dec,18800
2008,Jan,18830
2008,Feb,18875
2008,Mar,18935
2008,Apr,19010
2008,May,19100
2008,Jun,19205
2008,Jul,19325
2008,Aug,19460
2008,Sep,19610
2008,Oct,19775
2008,Nov,19955
2008,Dec,20150
2009,Jan,20180
2009,Feb,20225
2009,Mar,20285
2009,Apr,20360
2009,May,20450
2009,Jun,20555
2009,Jul,20675
2009,Aug,20810
2009,Sep,20960
2009,Oct,21125
2009,Nov,21305
2009,Dec,21500
2010,Jan,21530
2010,Feb,21575
2010,Mar,21635
2010,Apr,21710
2010,May,21800
2010,Jun,21905
2010,Jul,22025
2010,Aug,22160
2010,Sep,22310
2010,Oct,22475
2010,Nov,22655
2010,Dec,22850
2011,Jan,22880
2011,Feb,22925
2011,Mar,22985
2011,Apr,23060
2011,May,23150
2011,Jun,23255
2011,Jul,23375
2011,Aug,23510
2011,Sep,23660
2011,Oct,23825
2011,Nov,24005
2011,Dec,24200
2012,Jan,24230
2012,Feb,24275
2012,Mar,24335
2012,Apr,24410
2012,May,24500
2012,Jun,24605
2012,Jul,24725
2012,Aug,24860
2012,Sep,25010
2012,Oct,25175
2012,Nov,25355
2012,Dec,25550
2013,Jan,25580
2013,Feb,25625
2013,Mar,25685
2013,Apr,25760
2013,May,25850
2013,Jun,25955
2013,Jul,26075
2013,Aug,26210
2013,Sep,26360
2013,Oct,26525
2013,Nov,26705
2013,Dec,26900
2014,Jan,26930
2014,Feb,26975
2014,Mar,27035
2014,Apr,27110
2014,May,27200
2014,Jun,27305
2014,Jul,27425
2014,Aug,27560
2014,Sep,27710
2014,Oct,27875
2014,Nov,28055
2014,Dec,28250
2015,Jan,28280
2015,Feb,28325
2015,Mar,28385
2015,Apr,28460
2015,May,28550
2015,Jun,28655
2015,Jul,28775
2015,Aug,28910
2015,Sep,29060
2015,Oct,29225
2015,Nov,29405
2015,Dec,29600
2016,Jan,29630
2016,Feb,29675
2016,Mar,29735
2016,Apr,29810
2016,May,29900
2016,Jun,30005
2016,Jul,30125
2016,Aug,30260
2016,Sep,30410
2016,Oct,30575
2016,Nov,30755
2016,Dec,30950
2017,Jan,30980
2017,Feb,31025
2017,Mar,31085
2017,Apr,31160
2017,May,31250
2017,Jun,31355
2017,Jul,31475
2017,Aug,31610
2017,Sep,31760
2017,Oct,31925
2017,Nov,32105
2017,Dec,32300
2018,Jan,32330
2018,Feb,32375
2018,Mar,32435
2018,Apr,32510
2018,May,32600
2018,Jun,32705
2018,Jul,32825
2018,Aug,32960
2018,Sep,33110
2018,Oct,33275
2018,Nov,33455
2018,Dec,33650
2019,Jan,33680
2019,Feb,33725
2019,Mar,33785
2019,Apr,33860
2019,May,33950
2019,Jun,34055
2019,Jul,34175
2019,Aug,34310
2019,Sep,34460
2019,Oct,34625
2019,Nov,34805
2019,Dec,35000
2020,Jan,35030
2020,Feb,35075
2020,Mar,35135
2020,Apr,35210
2020,May,35300
2020,Jun,35405
2020,Jul,35525
2020,Aug,35660
2020,Sep,35810
2020,Oct,35975
2020,Nov,36155
2020,Dec,36350
2021,Jan,36380
2021,Feb,36425
2021,Mar,36485
2021,Apr,36560
2021,May,36650
2021,Jun,36755
2021,Jul,36875
2021,Aug,37010
2021,Sep,37160
2021,Oct,37325
2021,Nov,37505
2021,Dec,37700
2022,Jan,37730
2022,Feb,37775
2022,Mar,37835
2022,Apr,37910
2022,May,38000
2022,Jun,38105
2022,Jul,38225
2022,Aug,38360
2022,Sep,38510
2022,Oct,38675
2022,Nov,38855
2022,Dec,39050
2023,Jan,39080
2023,Feb,39125
2023,Mar,39185
2023,Apr,39260
2023,May,39350
2023,Jun,39455
2023,Jul,39575
2023,Aug,39710
2023,Sep,39860
2023,Oct,40025
2023,Nov,40205
2023,Dec,40400
2024,Jan,40430
2024,Feb,40475
2024,Mar,40535
2024,Apr,40610
2024,May,40700
2024,Jun,40805
2024,Jul,40925
2024,Aug,41060
2024,Sep,41210
2024,Oct,41375
2024,Nov,41555
2024,Dec,41750
2025,Jan,41780
2025,Feb,41825
2025,Mar,41885
2025,Apr,41960
2025,May,42050
2025,Jun,42155
2025,Jul,42275
2025,Aug,42410
2025,Sep,42560
2025,Oct,42725
2025,Nov,42905
2025,Dec,43100
